Agency,Region,lake,LFENZID,Hydrological Year,TLI,MixingPattern,GeomorphicType
Auckland Council,auckland,Lake Tomarata,21871,2009,4.2,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2010,3.6,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2011,4.3,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2012,4.4,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2013,4.7,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2015,4.9,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2016,4.2,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2017,4.6,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2018,4.4,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2019,4.4,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2020,4.2,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2021,4,Polymictic,Aeolian
Auckland Council,auckland,Lake Tomarata,21871,2022,4.3,Polymictic,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2009,4.2,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2010,4.3,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2011,4.3,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2012,4.4,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2013,4.4,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2015,4.7,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2016,4.2,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2017,4.3,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2018,4.5,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2019,4.1,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2020,4,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2021,3.7,Stratified,Aeolian
Auckland Council,auckland,Lake Wainamu,45819,2022,4.1,Stratified,Aeolian
Auckland Council,auckland,Lake Pupuke,50151,2009,3.7,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2010,3.6,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2011,3.3,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2012,3.7,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2013,3.6,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2015,3.6,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2016,4,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2017,4.5,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2018,4,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2019,3.9,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2020,4.1,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2021,3.8,Stratified,Volcanic
Auckland Council,auckland,Lake Pupuke,50151,2022,3.4,Stratified,Volcanic
Auckland Council,auckland,Lake Rototoa,50270,2009,3.4,Stratified,Aeolian
